,index,title,rank,date,artist,url,region,chart,trend,streams,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,lyrics
I will dye my hair blonde for you
You got that mad power, the sweet and sour
So how could I refuse?
There's nothing that I wouldn't do
But there's something in the way I act around you
Around you, around you
But there's something in the way I act around you
The way I feel about you
Not a thing I wouldn't do

I will dye my hair blonde for you
I will dye my hair blonde for you
You got that mad power, the sweet and sour
You won't cut me loose
There's nothing that I wouldn't do
I will dye my hair blonde for you
I will dye my hair blonde for you
You got that mad power, the sweet and sour
So how could I refuse?
There's nothing that I wouldn't do
I will dye my hair blonde for you4Embed"
436,436,Love Me Now,34,2017-01-01,John Legend,https://open.spotify.com/track/6nxQdXa1uAL0rY72wPZu89,Austria,top200,MOVE_UP,5188.0,0.495,0.762,8.0,-3.842,1.0,0.0862,0.591,0.0,0.0763,0.708,123.893,210293.0,"Love Me Now Lyrics
Pulling me further, further than I've been before
Making me stronger, shaking me right to the core
Oh, I don't know what's in the stars
Never heard it from above, the world isn't ours
But I know what's in my heart, if you ain't mine I'll be torn apart

I don't know who's gonna kiss you when I'm gone
So I'm gonna love you now, like it's all I have
I know it'll kill me when it's over
I don't wanna think about it, I want you to love me now
I don't know who's gonna kiss you when I'm gone
So I'm gonna love you now, like it's all I have
I know it'll kill me when it's over
I don't wanna think about it, I want you to love me now
Love me now, love me now
Oh, oh, love me now, oh, oh, oh, yeah
Love me now, love me now
Oh, I want you to love me now

Something inside us knows there's nothing guaranteed
Yeah, girl, I don't need you to tell me that you'll never leave, no
When we've done all that we could to turn darkness into light, turn evil to good
Even when we try so hard for that perfect kind of love, it could all fall apart

And who's gonna kiss you when I'm gone?
Oh I'm gonna love you now, like it's all I have
And I know it'll kill me when it's over
I don't wanna think about it, I want you to love me now

Love me now, love me now
Oh, love me now, oh, oh, oh
Love me now
Love me now, love me now
Love me now

Oh I don't know how the years will go down, it's alright
Let's make the most of every moment tonight
I don't know who's gonna kiss you when I'm gone
So I'm gonna love you now, like it's all I have
I know it'll kill me when it's over
I don't wanna think about it, I want you to love me now
I don't know who's gonna kiss you when I'm gone
So I'm gonna love you now, like it's all I have
I know it'll kill me when it's over
I don't wanna think about it, I just wanna love you now

Love me now, love me now
Oh, oh, love you now, oh, oh, oh
Love me now, love me now
Love you now
Oh, love you now, oh, oh, oh, oh20Embed"
437,437,Cheap Thrills,35,2017-01-01,Sia,https://open.spotify.com/track/27SdWb2rFzO6GWiYDBTD9j,Austria,top200,MOVE_DOWN,5187.0,0.628,0.698,6.0,-5.608,0.0,0.105,0.0472,0.00143,0.0907,0.732,89.976,211667.0,"Cheap Thrills Lyrics
Come on, come on, turn the radio on
It's Friday night and I won't be long
Gotta do my hair, put my make up on
It's Friday night and I won't be long

'Til I hit the dance floor, hit the dance floor
I got all I need
No, I ain't got cash, I ain't got cash
But I got you, baby

Baby, I don't need dollar bills to have fun tonight
(I love cheap thrills)
Baby, I don't need dollar bills to have fun tonight
(I love cheap thrills)
But I don't need no money
As long as I can feel the beat
I don't need no money
As long as I keep dancing
Come on, come on, turn the radio on
It's Saturday and I won't be long
Gotta paint my nails, put my high heels on
It's Saturday and I won't be long

'Til I hit the dance floor, hit the dance floor
I got all I need
No, I ain't got cash, I ain't got cash
But I got you, baby

Baby, I don't need dollar bills to have fun tonight
(I love cheap thrills)
Baby, I don't need dollar bills to have fun tonight
(I love cheap thrills)
But I don't need no money
As long as I can feel the beat
I don't need no money
As long as I keep dancing

(I love cheap thrills)
(I love cheap thrills)
I don't need no money
As long as I can feel the beat
I don't need no money
As long as I keep dancing
Baby, I don't need dollar bills to have fun tonight
(I love cheap thrills)
Baby, I don't need dollar bills to have fun tonight
(I love cheap thrills)
I don't need no money
As long as I can feel the beat
I don't need no money
As long as I keep dancing

La, la, la, la, la, la, la
(I love cheap thrills)
La, la, la, la, la, la, la
(I love cheap thrills)
La, la, la, la, la, la, la
(I love cheap thrills)
La, la, la, la, la, la, la
(I love cheap thrills)61Embed"
438,438,Treat You Better,36,2017-01-01,Shawn Mendes,https://open.spotify.com/track/4Hf7WnR761jpxPr5D46Bcd,Austria,top200,MOVE_DOWN,5017.0,0.624,0.803,10.0,-4.105,0.0,0.246,0.123,0.0,0.114,0.821,166.018,187973.0,"Treat You Better Lyrics
I won't lie to you
I know he's just not right for you
And you can tell me if I'm off
But I see it on your face
When you say that he's the one that you want
And you're spending all your time
In this wrong situation
And anytime you want it to stop

I know I can treat you better than he can
And any girl like you deserves a gentleman
Tell me why are we wasting time
On all your wasted crying
When you should be with me instead
I know I can treat you better
Better than he can
I'll stop time for you
The second you say you'd like me too
I just wanna give you the loving that you're missing
Baby, just to wake up with you
Would be everything I need and this could be so different
Tell me what you want to do

'Cause I know I can treat you better than he can
And any girl like you deserves a gentleman
Tell me why are we wasting time
On all your wasted crying
When you should be with me instead
I know I can treat you better
Better than he can
Better than he can

Give me a sign
Take my hand, we'll be fine
Promise I won't let you down
Just know that you don't
Have to do this alone
Promise I'll never let you down
'Cause I know I can treat you better than he can
And any girl like you deserves a gentleman
Tell me why are we wasting time
On all your wasted crying
When you should be with me instead
I know I can treat you better
Better than he can
Better than he can
Better than he can120Embed"
439,439,Jedermann,37,2017-01-01,Pizzera & Jaus,https://open.spotify.com/track/4rkEjyRMjc6rcj7WROZ9XK,Austria,top200,MOVE_UP,4932.0,0.46,0.735,0.0,-6.2,1.0,0.134,0.354,0.0,0.105,0.511,174.887,179688.0,"Jedermann Lyrics
Liebe mocht ned blind, sondern nur die Augn gschwoin
Wie a storker Wind, den de Staudn ned trogn woin

Meine Freind hom gsogt, du hosd mi ned verdient
Du bist unreif, unehrlich, nu a klanes Kind
I hobs ned hean woin, i hobs ned seng soin
Liebe mocht ned blind, sondern nur die Augn gschwoin
Weil spätestens noch an Joa hobi gseng, dass
Du neben dir kan ondern Menschen lebn losst
Und nix gebn hosd und jeden stehn losst
Der ned bedingungslos fia di einfoch sei Lebn losst

Und jetz gspiast, dass du gfriest, wenn du ned koidn wirst
Du verbliast und verlierst, weil du niemois kapierst
Dass du den Anen kobt hosd, der die koidn hed
Der fia di de greßtn Fösn einfoch gspoitn hed
Und ned nur, dass du des niemois verstehn konnst
I wa mit dir durch den schlimmsten oller Regn tonzt
Und a wenn du des niemois mehr so sehn konnst
I hed olles fia di doa, damit du schwebn konnst
A gonzes Lebn long, wär i dei Jedermann
Und hed dir jeden Tog aufs neiche zagt, wie weit i fia di gehn
Und zu dir stehn konn
A gonzes Leben long, weil du fia mi de ane woasd, ohne de i niemois lebn konn

Und deine Freind hom gsogt, des hoda ned verdient
Schau zua, dassa di wieda zruck zu si nimmt
Oba du hosd nur glocht und dei Spüglbild kennt
Und wos hosd du gmocht? Dir deine Fliagl verbrennt!

Jetzt kumm ma ned mit Föhla gmocht, sog ned des duad da lad
Dass i von Onfong on Recht kobt hob, wasi söwa a
Und wonn i dir nu an klan Tipp auf dein Weg mitgebn darf:
Um a Liebe kämpft man währenddessen ned danach

Jetzt wanst und zergehst, weil du oll des erst sehst
Wos grod vor dir verwest und du longsom verstehst
Dass du den Anen kobt hosd, der die koitn hed
Der fia di de greßtn Fösn einfoch gspoitn hed
Und ned nur, dass du des niemois verstehn konnst
I wa mit dir durch den schlimmsten oller Regn tonzt
Und a wenn du des niemois mehr so sehn konnst
I hed olles fia di doa, damit du schwebn konnst
A gonzes Lebn long, wär i dei Jedermann
Und hed dir jeden Tog aufs neiche zagt, wie weit i fia di gehn
Und zu dir stehn konn
A gonzes Leben long, weil du fia mi de ane woasd, ohne de i niemois lebn konn

Jeeehh...
A gonzes Lebn long

Liebe mocht ned blind, sondern nur die Augn gschwoin
Wie a storker Wind, den de Staun ned trogn woin
Fost wie bei an Kind, wos de Augn ned glaubn woin
Wie da Kuss von Klimt, den de Fraun ned hom woinEmbed"
440,440,Bonfire,38,2017-01-01,"Felix Jaehn, ALMA",https://open.spotify.com/track/5hz9DEkahyWoTs3rxJOTtw,Austria,top200,MOVE_DOWN,4790.0,0.771,0.785,2.0,-3.915,0.0,0.0832,0.064,1.27e-05,0.085,0.334,111.065,183003.0,"Bonfire Lyrics
Words, I can hear the whispers about me
Around me
Hurt, it hurts if I let all the poison in
If I let them win

Run your mouth, make it rain
You're trying to put my fire out
You feel better now?
Spill your hate, bring your wisdom
Throw it right into my flames
I want you to know

I am the bonfire
You make me stronger
You make me light up
With the shade you throw on me
Throw on me
I am the bonfire
You make me stronger
I'm going higher
I live off your gasoline, gasoline
I am the bonfire
I live off your gasoline, gasoline

Breathe, now I close my eyes
And I just breathe, I just breathe
Hurt, but shit that doesn't kill you
Makes you strong, so bring it on

Run your mouth, make it rain
You're trying to put my fire out
You feel better now?
Spill your hate, bring your wisdom
Throw it right into my flames
I want you to know

I am the bonfire
You make me stronger
You make me light up
With the shade you throw on me
Throw on me
I am the bonfire
You make me stronger
I'm going higher
I live off your gasoline, gasoline

Run your mouth around my business
So I don't look like them other bitches
Lifting drinks, yeah, that's my fitness
Fuel to the fire, fuel to the fire
Run your mouth, you can run your mouth
Think your rain put my fire out
Spilling hate, you feel better now?
Fuel to the fire, fuel to the fire

I am the bonfire
You make me stronger
You make me light up
With the shade you throw on me
Throw on me
I am the bonfire
You make me stronger
I'm going higher
I live off your gasoline, gasoline
I am the bonfire, I am, I am
I am the bonfire, what up, what up
I am the bonfire
You make me stronger
I'm going higher
I live off your gasoline, gasoline2Embed"
441,441,Ohne mein Team,39,2017-01-01,"Bonez MC, RAF Camora, Maxwell",https://open.spotify.com/track/05Mp2UJulSttxQ4E6hQPH3,Austria,top200,MOVE_UP,4737.0,0.766,0.8,1.0,-6.062,0.0,0.0938,0.16,1.6e-05,0.0744,0.635,129.999,188504.0,"Ohne mein Team Lyrics

Zu sechst im Mercedes
Weil alle Jungs müssen mit
Ein bisschen Sekt für die Mädels
Und auf hundert ein'n Fick
Kein Gesetz, keine Regeln
Lass uns Kohle verdien'n
Weil so lässt es sich leben
Und niemals ohne mein Team

Ich schließe die Tür des Apartments
Wenn die Party komplett ist
Monika, Sarah, Belinda
Von Instagram auf meine Guestlist
Menthol in der Kippe, Soda im Drink
'ne Chick will, dass ich für sie „So lala“ sing'
Sie will mich intim
Ich kooperiere nicht ohne mein Team
Die Sonne scheint durch die Gardine
Hautfarbe: Ovomaltine
Kokain in der Kabine zu zweit
Der Tod hat die Todespapiere verteilt
All meine Arabs sind heute Latinos
Chica, ¿qué pasa?, die Boys sind Amigos
Sie passt mir den Joint, lass' die Homies dran zieh'n
Gesmokt wird nie ohne mein Team!
(Nie ohne) Ohne mein Team
(Nie ohne) Ohne mein Team
Hamburg, Berlin, West-Wien
(Nie ohne) Ohne mein Team
(Nie ohne) Ohne mein Team
(Nie ohne) Ohne mein Team
Hamburg, Berlin, West-Wien
(Nie ohne) Ohne mein Team

Ballern, ballern
Nicht um zwölf Uhr, aber dreizehn Uhr ist schon okay
Ein Yallan, zwei Yallan
Ab dreizehn Uhr ist schon okay
Ein Glas Yamazaki
Nicht schon um zwölf, aber eins ist okay
Jeden Tag eine Party

Trete nicht auf, nicht ohne mein Team
Keiner hier nimmt uns die Philosophie
Alles betäubt – Lidocain
Frag nicht, wie viel ich am Kilo verdien'
Ein Chick in der Linken, ein Chick in der Rechten
Wir sehen uns beim Echo, Liste von Maxwell
Bring mir den Rum, eine Kiste vom Besten
Brauch' kein Hotel, Baby, ficken im Backstage
Was heute passiert, wird morgen verdrängt
Lass' mich am Strand von der Sonne verbrenn'n
Sie komm'n mit den Cops, ich komm' mit der Gang
In Sachen Gewalt sind wir zu konsequent
Alle aus Ghana sind heut Brasilianer
Prince Boateng von der Copacabana
Koma sein Vater, die Drogen sind clean
Alle woll'n mich oben-ohne bedien'n, doch nie ohne mein Team
(Nie ohne) Ohne mein Team
(Nie ohne) Ohne mein Team
Hamburg, Berlin, West-Wien
(Nie ohne) Ohne mein Team
(Nie ohne) Ohne mein Team
(Nie ohne) Ohne mein Team
Hamburg, Berlin, West-Wien
(Nie ohne) Ohne mein Team

Ballern, ballern
Nicht um zwölf Uhr, aber dreizehn Uhr ist schon okay
Ein Yallan, zwei Yallan
Ab dreizehn Uhr ist schon okay
Ein Glas Yamazaki
Nicht schon um zwölf, aber eins ist okay
Jeden Tag eine Party

Zu sechst im Mercedes
Weil alle Jungs müssen mit
Ein bisschen Sekt für die Mädels
Und auf hundert ein'n Fick
Kein Gesetz, keine Regeln
Lass uns Kohle verdien'n
Weil so lässt es sich leben
Und niemals ohne mein Team
Ballern, ballern
Nicht um zwölf Uhr, aber dreizehn Uhr ist schon okay
Ein Yallan, zwei Yallan
Ab dreizehn Uhr ist schon okay
Ein Glas Yamazaki
Nicht schon um zwölf, aber eins ist okay
Jeden Tag eine Party
Weil ab dreizehn Uhr ist schon okay

Hey, hey, hey, hey, hey, hey, he-e-ey
Hey, hey, hey, hey, hey, hey, he-e-ey
Hey, hey, hey, hey, hey, hey, he-e-ey
Hey, hey, hey, hey, hey, hey, he-e-ey26Embed"
442,442,iPhone 17 (feat. Moé),40,2017-01-01,KC Rebell,https://open.spotify.com/track/6rwCkGBh7CV6pcdxZKbcsG,Austria,top200,MOVE_UP,4691.0,0.622,0.628,6.0,-8.285,0.0,0.117,0.0127,0.0,0.0507,0.541,92.839,184179.0,"​iPhone 17 Lyrics
Sieh dich um, wir sind verloren
Keiner sieht hier, was geschieht
So viel Neues ist geboren
Und ist schon so beliebt
Und ich weiß, wo die Reise hingeht
Sie warten auf ein iPhone 17
Es gibt so viel mehr

Mein Wecker weckt mich mit 'nem frischen O-Saft
Und der Info, die WM findet dieses Jahr auf dem Mond statt
Heh, vielleicht klingt's für dich blöd
Aber den doppelten Espresso geb' ich mir intravenös
Wofür WLAN? Ich hab' 10G!
Ich hab' gehört, damals kauften sie noch CDs?!
Noch kurz zur Apotheke fliegen für ein'n Hustensaft
Denn bei Google stand, dass ich morgen Schnupfen hab'
Warum machen wir uns bekloppt?
Suchen, finden alles, doch verlieren uns oft?
Manchmal steigt es mir zu Kopf
Geh' auf Standby und bedien' den Knopf

Sieh dich um, wir sind verloren
Keiner sieht hier, was geschieht
So viel Neues ist geboren
Und ist schon so beliebt
Und ich weiß, wo die Reise hingeht
Sie warten auf ein iPhone 17
Es gibt so viel mehr

Nie wieder Stress und Kummer haben?!
Einfach eine App runterladen!
Mein digitaler Lehrer sagte:
„Damals sah das menschliche Auge nur minimale Fehler!“
Kein'n Plan, was ich für meinen Einkauf brauche
Denn mein Kühlschrank bestellt frei nach Schnauze
Ich nehm' mir 'ne Fantakapsel mit 'ner Lasagnekapsel
Und für meine Romantik noch eine Champagnerkapsel
Das Gras, was man raucht, wird auf dem Mars angebaut
Einmal zieh'n und man ist paar Tage drauf
Das ist die Zukunft, Junge, wir sind zielgerichtet
Ich fliege nicht, ich beame mich!
Warum machen wir uns bekloppt?
Suchen, finden alles, doch verlieren uns oft?
Manchmal steigt es mir zu Kopf
Geh' auf Standby und bedien' den Knopf

Sieh dich um, wir sind verloren
Keiner sieht hier, was geschieht
So viel Neues ist geboren
Und ist schon so beliebt
Und ich weiß, wo die Reise hingeht
Sie warten auf ein iPhone 17

Setz' mich hin, schalt' kurz ab
Und mach' einmal die Augen zu
Geh' kein'n Schritt, halte an
Denn irgendwann ist auch genug
Und ich frage mich: Warum machen wir uns bekloppt?
Suchen, finden alles, doch verlieren uns oft?
Manchmal steigt es mir zu Kopf
Geh' auf Standby und bedien' den Knopf

Sieh dich um, wir sind verloren
Keiner sieht hier, was geschieht
So viel Neues ist geboren
Und ist schon so beliebt
Und ich weiß, wo die Reise hingeht
Sie warten auf ein iPhone 17
Es gibt so viel mehr1Embed"
443,443,The Ocean (feat. Shy Martin),41,2017-01-01,Mike Perry,https://open.spotify.com/track/2CPqh63wRVscbceKcPxwvv,Austria,top200,MOVE_DOWN,4644.0,0.632,0.575,5.0,-6.478,1.0,0.029,0.0225,1.81e-06,0.104,0.188,90.037,183414.0,"The Ocean Lyrics
You can be my guiding light
Keep me company in the night
That's all I need, all I want
Is for you to stay a little longer now
With arms around me, like a border
Like the air I breathe, I let you in
Keep me warm underneath my skin
Cause I'm

Giving in to your touch
I can never get enough
Diving deep into the ocean
Ocean
Ocean
Ocean
You can be my safety zone
Somewhere I can go when I feel alone
That's all I need, all I want
Is to stay a little longer now
Arms around me like a border
Like an endless stream
You take me in
To a place that I've never been
Now I'm

Giving in to your touch
I will never get enough
Diving deep into the ocean
Ocean
Ocean
Ocean17Embed"
444,444,24K Magic,42,2017-01-01,Bruno Mars,https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P,Austria,top200,MOVE_UP,4558.0,0.818,0.803,1.0,-4.282,1.0,0.0797,0.034,0.0,0.153,0.632,106.97,225983.0,"24K Magic Lyrics
Tonight
I just want to take you higher
Throw your hands up in the sky
Let's set this party off right

Players, put yo' pinky rings up to the moon
Girls, what y'all trying to do?
24 karat magic in the air
Head to toe so player
Uh, look out!

Pop pop, it's show time (Show time)
Show time (Show time)
Guess who's back again?
Oh they don't know? (Go on tell 'em)
Oh they don't know? (Go on tell 'em)
I bet they know soon as we walk in (Showin' up)
Wearing Cuban links (ya)
Designer minks (ya)
Inglewood's finest shoes (Whoop, whoop)
Don't look too hard
Might hurt ya'self
Known to give the color red the blues
Ooh shit, I'm a dangerous man with some money in my pocket
(Keep up)
So many pretty girls around me and they waking up the rocket
(Keep up)
Why you mad? Fix ya face
Ain't my fault y'all be jocking
(Keep up)

Players only, come on
Put your pinky rings up to the moon
Girls, what y'all trying to do?
24 karat magic in the air
Head to toe so player
Uh, look out!

Second verse for the hustlas (hustlas)
Gangstas (gangstas)
Bad bitches and ya ugly ass friends (Haha)
Can I preach? (Uh oh) Can I preach? (Uh oh)
I gotta show 'em how a pimp get it in
First, take your sip (sip), do your dip (dip)
Spend your money like money ain't shit (Whoop, whoop)
We too fresh
Got to blame it on Jesus
Hashtag blessed
They ain't ready for me
I'm a dangerous man with some money in my pocket
(Keep up)
So many pretty girls around me and they waking up the rocket
(Keep up)
Why you mad? Fix ya face
Ain't my fault y'all be jocking
(Keep up)

Players only, come on
Put your pinky rings up to the moon
Hey girls
What y'all trying to do?
24 karat magic in the air
Head to toe so player
Uh, look out!

(Wooh)
Everywhere I go they be like
Ooh, so player ooh
Everywhere I go they be like
Ooh, so player ooh
Everywhere I go they be like
Ooh, so player ooh
Now, now, now
Watch me break it down like (Uh)
24 karat, 24 karat magic
What's that sound?
24 karat, 24 karat magic
Come on now
24 karat, 24 karat magic
Don't fight the feeling
Invite the feeling
Just put your pinky rings up to the moon
Girls, what y'all trying to do?
24 karat magic in the air
Head to toe so player
Put your pinky rings up to the moon
Girls, what y'all trying to do? (Do)
24 karat magic in the air
Head to toe so player
(24 karat)
Uh, look out

(24 karat magic, magic, magic)77Embed"
445,445,Alarm,43,2017-01-01,Anne-Marie,https://open.spotify.com/track/0OwX5aROoW1Iip8FV51Efg,Austria,top200,MOVE_DOWN,4362.0,0.756,0.589,0.0,-5.093,1.0,0.232,0.0812,0.0,0.176,0.811,146.928,205593.0,"Alarm Lyrics
You lay here with me, you're shuttin' down
I smell her on ya, I'm focused now
I know what's goin' on in your head, yeah
I know what's happened here in our bed, yeah
Your phone is buzzin', so pick it up
I know she callin', so what the fuck?
I should've known a cheat stays a cheater
So here we are

And there goes the alarm ringin' in my head
Like somebody said, “Don't you trust him, no”
Text in from his ex, what did you expect?
Now you're lyin' here knowin' where he goes
Now he got that itch, yeah, karma is a bitch, yeah
Same way that they come, that's the way they go
Now he got that itch, yeah, rewindin' the picture
There goes the alarm and the sirens go
There goes the alarm
I saw it comin', I let it go
My girls will tell me, ""I told you so""
But I was so intrigued by your style, boy
Always been a sucker for a wild boy
I'm better than this, I know my worth
I might be gettin' what I deserve
But I ain't stickin' 'round for the re-run
What's done is done

And there goes the alarm ringin' in my head
Like somebody said, “Don't you trust him, no”
Text in from his ex, what did you expect?
Now you're lyin' here knowin' where he goes
Now he got that itch, yeah, karma is a bitch, yeah
Same way that they come, that's the way they go
Now he got that itch, yeah, rewindin' the picture
There goes the alarm and the sirens go
There goes the alarm

Now he got that itch, yeah
Same way that they come
Now he got that itch, yeah
There goes the alarm, yeah
Same way that they come
Now he got that itch, yeah, yeah, uh
Bang bang, two-shots fired
Man down, one fool, one liar
Ring ring, trust gone missin'
House on fire, house on fire
Bang bang, two-shots fired
Man down, one fool, one liar
Ring ring, trust gone missin'
House on fire

And there goes the alarm ringin' in my head
Like somebody said, “Don't you trust him, no”
Text in from his ex, what did you expect?
Now you're lyin' here knowin' where he goes
Now he got that itch, yeah, karma is a bitch, yeah
Same way that they come, that's the way they go
Now he got that itch, yeah, rewindin' the picture
There goes the alarm and the sirens go

There goes the alarm
Now he got that itch, yeah
There goes the alarm
There goes the alarm
Now he got that itch, yeah
There goes the alarm
There goes the alarm31Embed"
446,446,Final Song,44,2017-01-01,MØ,https://open.spotify.com/track/4qqArAiTPueDxIp7cf87h7,Austria,top200,MOVE_DOWN,4337.0,0.695,0.672,1.0,-6.109,0.0,0.0345,0.014,7.95e-05,0.0756,0.245,104.988,235827.0,"Final Song Lyrics
Please, won't you wait?
Won't you stay?
At least until the sun goes down
When you're gone, I lose faith
I lose everything I have found
Heartstrings, violins
That's what I hear when you're by my side
Yeah, that's what I hear when you're by my side

Well, when you're gone the music goes
I lose my rhythm, lose my soul
So hear me out before you say the night is over
I want you to know that we gotta, gotta carry on
So don't let this be our final song
So don't let this be our final song
So hear me out before you say the night is over
I want you to know that we gotta, gotta carry on
So don't let this be our final song

Baby when we were young
There was nothing to make believe
And the songs that we sang
They were written for you and me
Melodies on repeat
That's what I hear when you're by my side (Ooh)
Yeah, that's what I hear when you're by my side (Ooh)

Well, when you're gone the music goes
I lose my rhythm, lose my soul
So hear me out before you say the night is over
I want you to know that we gotta, gotta carry on
So don't let this be our final song

So don't let this be our final song
So hear me out before you say the night is over
I want you to know that we gotta, gotta carry on
So don't let this be our final song
Ooh-ooh, take us to a higher ground
Here and now, whatever you do, just don't look down
Ooh-ooh, underneath the disco light, it's alright
We could make the perfect sound
We could make the perfect sound

Well, when you're gone the music goes
I lose my rhythm, lose my soul
So hear me out before you say the night is over
I want you to know that we gotta, gotta carry on
So don't let this be our final song (Hey)

So don't let this be our final song (Hey)
So hear me out before you say the night is over
I want you to know that we gotta, gotta carry on
So don't let this be our final song (Hey)

Ooh-ooh, take us to a higher ground
Here and now, whatever you do, just don't look down
(Don't look down)
Ooh-ooh (Hey), underneath the disco light, it's alright
We could make the perfect sound
Ooh-ooh, take us to a higher ground
Here and now, whatever you do, just don't look down
(Don't look down)
Ooh-ooh, underneath the disco light, it's alright
Don't let this be our final song39Embed"
447,447,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",45,2017-01-01,Justin Timberlake,https://open.spotify.com/track/6JV2JOEocMgcZxYSZelKcc,Austria,top200,MOVE_DOWN,4310.0,0.666,0.83,0.0,-5.715,1.0,0.0751,0.0123,0.0,0.191,0.702,113.03,236002.0,"CAN’T STOP THE FEELING! Lyrics
I got this feeling inside my bones
It goes electric, wavey when I turn it on
All through my city, all through my home
We're flying up, no ceiling, when we in our zone

I got that sunshine in my pocket
Got that good soul in my feet
I feel that hot blood in my body when it drops (ooh)
I can't take my eyes up off it, moving so phenomenally
Room on lock, the way we rock it, so don't stop

And under the lights when everything goes
Nowhere to hide when I'm getting you close
When we move, well, you already know
So just imagine (Just imagine, just imagine)
Nothing I can see but you when you dance, dance, dance
A feeling good, good, creeping up on you
So just dance, dance, dance, come on
All those things I shouldn't do
But you dance, dance, dance
And ain't nobody leaving soon, so keep dancing
I can't stop the feeling!
So just dance, dance, dance
I can't stop the feeling!
So just dance, dance, dance
Come on

Ooh, it's something magical
It's in the air, it's in my blood, it's rushing on
I don't need no reason, don't need control
I fly so high, no ceiling, when I'm in my zone

'Cause I got that sunshine in my pocket
Got that good soul in my feet
I feel that hot blood in my body when it drops, ooh
I can't take my eyes up off it, moving so phenomenally
Room on lock, the way we rock it, so don't stop
And under the lights when everything goes
Nowhere to hide when I'm getting you close
When we move, well, you already know
So just imagine (Just imagine, just imagine)

Nothing I can see but you when you dance, dance, dance
A feeling good, good, creeping up on you
So just dance, dance, dance, come on
All those things I shouldn't do
But you dance, dance, dance
And ain't nobody leaving soon, so keep dancing
I can't stop the feeling!
So just dance, dance, dance
I can't stop the feeling!
So just dance, dance, dance (Come on)
I can't stop the feeling!
So just dance, dance, dance
I can't stop the feeling!
So keep dancing
Come on

Oh, yeah
I can't stop the, I can't stop the
I can't stop the, I can't stop the
I can't stop the feeling!
Nothing I can see but you when you dance, dance, dance
(I can't stop the feeling!)
Feeling good, good, creeping up on you
So just dance, dance, dance, come on
(I can't stop the feeling!)
All those things I shouldn't do
But you dance, dance, dance
(I can't stop the feeling!)
And ain't nobody leaving soon, so keep dancing

Everybody sing
(I can't stop the feeling!)
Got this feeling in my body
(I can't stop the feeling!)
Got this feeling in my body
(I can't stop the feeling!)
Wanna see you move your body
(I can't stop the feeling!)
Got this feeling in my body, come on
Break it down
Got this feeling in my body
I can't stop the feeling!
Got this feeling in my body, come on37Embed"
448,448,Starving,46,2017-01-01,"Hailee Steinfeld, Grey, Zedd",https://open.spotify.com/track/1qOLh0tI7trd1zdDKxYZTe,Austria,top200,MOVE_UP,4288.0,0.636,0.633,4.0,-4.23,1.0,0.126,0.371,0.0,0.102,0.512,99.721,181880.0,"Starving Lyrics
You know just what to say, things that scare me
I should just walk away, but I can't move my feet
The more that I know you, the more I want to

Something inside me's changed
I was so much younger yesterday, oh

I didn't know that I was starvin' 'til I tasted you
Don't need no butterflies when you give me the whole damn zoo
By the way, right away, you do things to my body
I didn't know that I was starvin' 'til I tasted you
By the way, right away, you do things to my body
I didn't know that I was starvin' 'til I tasted you
You know just how to make my heart beat faster
Emotional earthquake, bring on disaster
You hit me head on, got me weak in my knees

Yeah, something inside me's changed
I was so much younger yesterday, yeah
So much younger yesterday, oh

I didn't know that I was starving 'til I tasted you
Don't need no butterflies when you give me the whole damn zoo
By the way, right away, you do things to my body
I didn't know that I was starvin' 'til I tasted you
By the way, right away, you do things to my body
I didn't know that I was starvin' 'til I tasted you

You you, yeah 'til I tasted you
By the way, right away, you do things to my body
I didn't know that I was starvin' 'til I tasted you
I didn't know 'til I tasted you

The more that I know you, the more that I want to
Something inside me's changed
I was so much younger yesterday43Embed"
